yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
GPX3		H0YC19	H0YC19_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX3	Homo sapiens (Human)	174
GPX3		P22352	GPX3_HUMAN	reviewed	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	Homo sapiens (Human)	226
GPX3		Q6NXQ3	Q6NXQ3_HUMAN	unreviewed	GPX3 protein (Glutathione peroxidase 3)	GPX3	Homo sapiens (Human)	72
GPX4		A0A087WT12	A0A087WT12_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	233
GPX4		A0A087X247	A0A087X247_HUMAN	unreviewed	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (Fragment)	GPX4	Homo sapiens (Human)	134
GPX4		A0A087X2I2	A0A087X2I2_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	196
GPX4		A0A0A0MTT1	A0A0A0MTT1_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	166
GPX4		D6W5Y2	D6W5Y2_HUMAN	unreviewed	Glutathione peroxidase 4 (Phospholipid hydroperoxidase)	GPX4 hCG_21576	Homo sapiens (Human)	90
GPX4		K7EJ20	K7EJ20_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	242
GPX4		K7EKX7	K7EKX7_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	175
GPX4		K7ENB4	K7ENB4_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	180
GPX4		K7ERP4	K7ERP4_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	155
GPX4		P36969	GPX4_HUMAN	reviewed	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	GPX4	Homo sapiens (Human)	197
GPX4		Q6PI42	Q6PI42_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	197
GPX4		R4GNE4	R4GNE4_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	179
GSN		A0A0A0MS51	A0A0A0MS51_HUMAN	unreviewed	Gelsolin	GSN	Homo sapiens (Human)	748
GSN		A0A0A0MT01	A0A0A0MT01_HUMAN	unreviewed	Gelsolin	GSN	Homo sapiens (Human)	767
GSN		A0A0U1RQL8	A0A0U1RQL8_HUMAN	unreviewed	Gelsolin (Fragment)	GSN	Homo sapiens (Human)	232
GSN		P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782
GSN		Q5T0H8	Q5T0H8_HUMAN	unreviewed	Gelsolin (Fragment)	GSN	Homo sapiens (Human)	67
GSN		Q5T0I0	Q5T0I0_HUMAN	unreviewed	Gelsolin (Fragment)	GSN	Homo sapiens (Human)	260
GSN		Q5T0I1	Q5T0I1_HUMAN	unreviewed	Gelsolin (Fragment)	GSN	Homo sapiens (Human)	228
GSR		E5RI06	E5RI06_HUMAN	unreviewed	Glutathione reductase, mitochondrial (Fragment)	GSR	Homo sapiens (Human)	144
GSR		H0YC68	H0YC68_HUMAN	unreviewed	Glutathione reductase, mitochondrial (Fragment)	GSR	Homo sapiens (Human)	131
GSR		P00390	GSHR_HUMAN	reviewed	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)	522
GSTM1		B9ZVX7	B9ZVX7_HUMAN	unreviewed	Glutathione S-transferase Mu 1	GSTM1	Homo sapiens (Human)	149
GSTM1		E7EWW9	E7EWW9_HUMAN	unreviewed	Glutathione S-transferase Mu 1	GSTM1	Homo sapiens (Human)	237
GSTM1		H3BQT3	H3BQT3_HUMAN	unreviewed	Glutathione S-transferase Mu 1 (Glutathione S-transferase mu 1 isoform E)	GSTM1	Homo sapiens (Human)	85
GSTM1		H3BRM6	H3BRM6_HUMAN	unreviewed	Glutathione S-transferase Mu 1 (Fragment)	GSTM1	Homo sapiens (Human)	102
GSTM1		P09488	GSTM1_HUMAN	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	GSTM1 GST1	Homo sapiens (Human)	218
GSTM1		Q16041	Q16041_HUMAN	unreviewed	GSTM1 protein (Fragment)	GSTM1	Homo sapiens (Human)	62
GSTM1		X5D7U4	X5D7U4_HUMAN	unreviewed	Glutathione S-transferase mu 1 isoform A	GSTM1	Homo sapiens (Human)	83
GSTM1		X5D932	X5D932_HUMAN	unreviewed	Glutathione S-transferase mu 1 isoform C (Fragment)	GSTM1	Homo sapiens (Human)	181
GSTM1		X5DNN9	X5DNN9_HUMAN	unreviewed	Glutathione S-transferase mu 1 isoform D (Fragment)	GSTM1	Homo sapiens (Human)	149
GSTM1		X5DR03	X5DR03_HUMAN	unreviewed	Glutathione S-transferase mu 1 isoform B (Fragment)	GSTM1	Homo sapiens (Human)	218
GUCY2D		Q02846	GUC2D_HUMAN	reviewed	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	Homo sapiens (Human)	1103
H1F0		P07305	H10_HUMAN	reviewed	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1F0 H1FV	Homo sapiens (Human)	194
HGF		C9JDP4	C9JDP4_HUMAN	unreviewed	Hepatocyte growth factor (Fragment)	HGF	Homo sapiens (Human)	141
HGF		C9JJ35	C9JJ35_HUMAN	unreviewed	Hepatocyte growth factor	HGF	Homo sapiens (Human)	58
HGF		C9JS80	C9JS80_HUMAN	unreviewed	Hepatocyte growth factor (Fragment)	HGF	Homo sapiens (Human)	118
HGF		C9WSJ3	C9WSJ3_HUMAN	unreviewed	Hepatocyte growth factor (Hepatocyte growth factor isoform 6)	HGF	Homo sapiens (Human)	184
HGF		C9WSJ4	C9WSJ4_HUMAN	unreviewed	Hepatocyte growth factor isoform 6	HGF	Homo sapiens (Human)	161
HGF		P14210	HGF_HUMAN	reviewed	Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]	HGF HPTA	Homo sapiens (Human)	728
HMGB2		D6R9A6	D6R9A6_HUMAN	unreviewed	High mobility group protein B2 (Fragment)	HMGB2	Homo sapiens (Human)	134
HMGB2		P26583	HMGB2_HUMAN	reviewed	High mobility group protein B2 (High mobility group protein 2) (HMG-2)	HMGB2 HMG2	Homo sapiens (Human)	209
HMOX1		B1AHA8	B1AHA8_HUMAN	unreviewed	Heme oxygenase 1 (Fragment)	HMOX1	Homo sapiens (Human)	187
HMOX1		D2K7W4	D2K7W4_HUMAN	unreviewed	HMOX1 (Fragment)	HMOX1	Homo sapiens (Human)	42
HMOX1		F2YMD9	F2YMD9_HUMAN	unreviewed	Heme oxygenase 1 (Fragment)	HMOX1	Homo sapiens (Human)	288
HMOX1		P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	Homo sapiens (Human)	288
HMOX1		Q6FH11	Q6FH11_HUMAN	unreviewed	HMOX1 protein (Heme oxygenase (Decycling) 1)	HMOX1 hCG_40033	Homo sapiens (Human)	288
HMOX1		Q96DI8	Q96DI8_HUMAN	unreviewed	Heme oxygenase (Decycling) 1	HMOX1	Homo sapiens (Human)	288
HSPB1		C9J3N8	C9J3N8_HUMAN	unreviewed	Heat shock protein beta-1	HSPB1	Homo sapiens (Human)	37
HSPB1		F8WE04	F8WE04_HUMAN	unreviewed	Heat shock protein beta-1	HSPB1	Homo sapiens (Human)	186
HSPB1		P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
IER3		P46695	IEX1_HUMAN	reviewed	Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1)	IER3 DIF2 IEX1 PRG1	Homo sapiens (Human)	156
IER3		Q5ST77	Q5ST77_HUMAN	unreviewed	Immediate early response 3 (Immediate early response 3, isoform CRA_a) (Radiation-inducible immediate early response gene IEX1) (cDNA, FLJ94872, Homo sapiens immediate early response 3 (IER3), transcript variantshort, mRNA)	PRG1 IER3 IEX1 hCG_26002	Homo sapiens (Human)	156
IER3		Q5ST79	Q5ST79_HUMAN	unreviewed	Immediate early response 3, isoform CRA_b (Radiation-inducible immediate-early gene IEX-1)	IER3 hCG_26002	Homo sapiens (Human)	138
IFITM3		E9PS44	E9PS44_HUMAN	unreviewed	Interferon-induced transmembrane protein 3	IFITM3	Homo sapiens (Human)	112
IFITM3		H9NKY4	H9NKY4_HUMAN	unreviewed	IFITM3	IFITM3	Homo sapiens (Human)	133
IFITM3		H9NL12	H9NL12_HUMAN	unreviewed	IFITM3	IFITM3	Homo sapiens (Human)	133
IFITM3		H9NL19	H9NL19_HUMAN	unreviewed	IFITM3	IFITM3	Homo sapiens (Human)	133
IFITM3		Q01628	IFM3_HUMAN	reviewed	Interferon-induced transmembrane protein 3 (Dispanin subfamily A member 2b) (DSPA2b) (Interferon-inducible protein 1-8U)	IFITM3	Homo sapiens (Human)	133
IFITM3		R4GNG9	R4GNG9_HUMAN	unreviewed	Interferon-induced transmembrane protein 3 (Fragment)	IFITM3	Homo sapiens (Human)	55
IFNB1		B5BUQ5	B5BUQ5_HUMAN	unreviewed	Interferon beta (Fragment)	IFNB1	Homo sapiens (Human)	166
IFNB1		P01574	IFNB_HUMAN	reviewed	Interferon beta (IFN-beta) (Fibroblast interferon)	IFNB1 IFB IFNB	Homo sapiens (Human)	187
IFNGR1		A0A0S2Z3R7	A0A0S2Z3R7_HUMAN	unreviewed	Interferon gamma receptor 1 isoform 2	IFNGR1	Homo sapiens (Human)	114
IFNGR1		A0A0S2Z3Y2	A0A0S2Z3Y2_HUMAN	unreviewed	Interferon gamma receptor 1 isoform 1 (Fragment)	IFNGR1	Homo sapiens (Human)	489
IFNGR1		A5HJZ4	A5HJZ4_HUMAN	unreviewed	Truncated interferon-gamma receptor 1	IFNGR1	Homo sapiens (Human)	274
IFNGR1		E5QBZ2	E5QBZ2_HUMAN	unreviewed	Interferon-gamma receptor alpha chain (Fragment)	IFNGR1	Homo sapiens (Human)	28
IFNGR1		P15260	INGR1_HUMAN	reviewed	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	IFNGR1	Homo sapiens (Human)	489
IFNGR1		Q5TFC9	Q5TFC9_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	210
IFNGR1		Q5TFD1	Q5TFD1_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	161
IFNGR1		Q7Z687	Q7Z687_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	202
IGF2R		A0N9R6	A0N9R6_HUMAN	unreviewed	Insulin-like growth factor type 2 receptor (Insulin-like growth factor type II receptor) (Fragment)	IGF2R igf2R	Homo sapiens (Human)	49
IGF2R		A0N9R7	A0N9R7_HUMAN	unreviewed	Insulin-like growth factor type II receptor (Fragment)	IGF2R	Homo sapiens (Human)	43
IGF2R		A0N9R9	A0N9R9_HUMAN	unreviewed	Insulin-like growth factor type II receptor (Fragment)	IGF2R	Homo sapiens (Human)	18
IGF2R		P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	Homo sapiens (Human)	2491
IGF2R		Q13660	Q13660_HUMAN	unreviewed	Mannose 6-phosphate/insulin-like growth factor-II receptor (Fragment)	IGF2R mannose 6-phosphate	Homo sapiens (Human)	24
IGF2R		Q13661	Q13661_HUMAN	unreviewed	Mannose 6-phosphate/insulin-like growth factor-II receptor (Fragment)	IGF2R mannose 6-phosphate	Homo sapiens (Human)	24
IGF2R		S4R328	S4R328_HUMAN	unreviewed	Cation-independent mannose-6-phosphate receptor (Fragment)	IGF2R	Homo sapiens (Human)	185
IGFBP6		F8VVA5	F8VVA5_HUMAN	unreviewed	Insulin-like growth factor-binding protein 6	IGFBP6	Homo sapiens (Human)	136
IGFBP6		F8VYK9	F8VYK9_HUMAN	unreviewed	Insulin-like growth factor-binding protein 6	IGFBP6	Homo sapiens (Human)	238
IGFBP6		P24592	IBP6_HUMAN	reviewed	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)	IGFBP6 IBP6	Homo sapiens (Human)	240
IGFBP6		Q9H2B5	Q9H2B5_HUMAN	unreviewed	Insulin-like growth factor binding protein 6 (Fragment)	IGFBP6	Homo sapiens (Human)	111
IL18		A0A024R3E0	A0A024R3E0_HUMAN	unreviewed	Interleukin 18 (Interferon-gamma-inducing factor), isoform CRA_a	IL18 hCG_39294	Homo sapiens (Human)	189
IL18		B0YJ28	B0YJ28_HUMAN	unreviewed	Interleukin-18	IL18	Homo sapiens (Human)	193
IL18		Q14116	IL18_HUMAN	reviewed	Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma)	IL18 IGIF IL1F4	Homo sapiens (Human)	193
IL1A		P01583	IL1A_HUMAN	reviewed	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)	IL1A IL1F1	Homo sapiens (Human)	271
IL1B		B5BUQ8	B5BUQ8_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	153
IL1B		C9JSC2	C9JSC2_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	125
IL1B		C9JVK0	C9JVK0_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	111
IL1B		C9JWV2	C9JWV2_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	143
IL1B		O43645	O43645_HUMAN	unreviewed	Interleukin 1 beta (Fragment)	IL1b	Homo sapiens (Human)	153
IL1B		P01584	IL1B_HUMAN	reviewed	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	Homo sapiens (Human)	269
IL6		A0A1C9J7T5	A0A1C9J7T5_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7T7	A0A1C9J7T7_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7T8	A0A1C9J7T8_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7U0	A0A1C9J7U0_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7V0	A0A1C9J7V0_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7V2	A0A1C9J7V2_HUMAN	unreviewed	Truncated interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	14
IL6		B4DNV3	B4DNV3_HUMAN	unreviewed	Interleukin-6 (cDNA FLJ52006, moderately similar to Interleukin-6)	IL6	Homo sapiens (Human)	122
IL6		B5MC14	B5MC14_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	198
IL6		B5MC21	B5MC21_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	136
IL6		B5MCZ3	B5MCZ3_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	189
IL6		C9J5B0	C9J5B0_HUMAN	unreviewed	Interleukin-6 (Fragment)	IL6	Homo sapiens (Human)	152
IL6		P05231	IL6_HUMAN	reviewed	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212
IL6		Q75MH2	Q75MH2_HUMAN	unreviewed	IL6 protein (Interleukin 6 (Interferon, beta 2)) (Interleukin 6 (Interferon, beta 2), isoform CRA_a) (Putative uncharacterized protein IL6)	IL6 hCG_38231 tcag7.131	Homo sapiens (Human)	212
IRF1		A0A0B6XK11	A0A0B6XK11_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	61
IRF1		A0A0B6XK53	A0A0B6XK53_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	47
IRF1		A0A1B1RS94	A0A1B1RS94_HUMAN	unreviewed	Interferon regulatory factor 1 isoform d9,10 (Fragment)	IRF1	Homo sapiens (Human)	306
IRF1		C9J9C5	C9J9C5_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	198
IRF1		C9JD95	C9JD95_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	192
IRF1		F8WCM1	F8WCM1_HUMAN	unreviewed	Interferon regulatory factor 1	IRF1	Homo sapiens (Human)	51
IRF1		P10914	IRF1_HUMAN	reviewed	Interferon regulatory factor 1 (IRF-1)	IRF1	Homo sapiens (Human)	325
IRF1		Q5FBX3	Q5FBX3_HUMAN	unreviewed	Interferon regulatory factor 1 nirs variant 1	IRF1	Homo sapiens (Human)	250
IRF1		Q6FHN8	Q6FHN8_HUMAN	unreviewed	IRF1 protein (Interferon regulatory factor 1) (Interferon regulatory factor-1) (cDNA, FLJ94683, Homo sapiens interferon regulatory factor 1 (IRF1), mRNA) (Fragment)	IRF1 hCG_24115	Homo sapiens (Human)	325
IRF1		R4GNI0	R4GNI0_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	118
IRF1		V9P8K4	V9P8K4_HUMAN	unreviewed	Interferon regulatory factor 1 isoform I4	IRF1	Homo sapiens (Human)	167
IRF1		V9P921	V9P921_HUMAN	unreviewed	Interferon regulatory factor 1 (Interferon regulatory factor 1 isoform d78)	IRF1	Homo sapiens (Human)	201
ISG20		A0A024RC76	A0A024RC76_HUMAN	unreviewed	Interferon stimulated exonuclease gene 20kDa, isoform CRA_a	ISG20 hCG_1775709	Homo sapiens (Human)	118
ISG20		H0YMM4	H0YMM4_HUMAN	unreviewed	Interferon-stimulated gene 20 kDa protein (Fragment)	ISG20	Homo sapiens (Human)	155
ISG20		H3BLY5	H3BLY5_HUMAN	unreviewed	Interferon-stimulated gene 20 kDa protein	ISG20	Homo sapiens (Human)	87
ISG20		Q96AZ6	ISG20_HUMAN	reviewed	Interferon-stimulated gene 20 kDa protein (EC 3.1.13.1) (Estrogen-regulated transcript 45 protein) (Promyelocytic leukemia nuclear body-associated protein ISG20)	ISG20 HEM45	Homo sapiens (Human)	181
JUN		P05412	JUN_HUMAN	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens (Human)	331
JUN		Q6FHK0	Q6FHK0_HUMAN	unreviewed	JUN protein (Fragment)	JUN	Homo sapiens (Human)	331
KRT18		A0A024RAY2	A0A024RAY2_HUMAN	unreviewed	Keratin 18, isoform CRA_a	KRT18 hCG_43757	Homo sapiens (Human)	430
KRT18		F8VZY9	F8VZY9_HUMAN	unreviewed	Keratin, type I cytoskeletal 18	KRT18	Homo sapiens (Human)	391
KRT18		I6L965	I6L965_HUMAN	unreviewed	KRT18 protein (Fragment)	KRT18	Homo sapiens (Human)	372
KRT18		P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430
LEF1		A0A024RDI7	A0A024RDI7_HUMAN	unreviewed	Lymphoid enhancer-binding factor 1, isoform CRA_b	LEF1 hCG_21073	Homo sapiens (Human)	399
LEF1		D6RAB1	D6RAB1_HUMAN	unreviewed	Lymphoid enhancer-binding factor 1 (Fragment)	LEF1	Homo sapiens (Human)	173
LEF1		D6RID7	D6RID7_HUMAN	unreviewed	Lymphoid enhancer-binding factor 1	LEF1	Homo sapiens (Human)	133
LEF1		D6RIV1	D6RIV1_HUMAN	unreviewed	Lymphoid enhancer-binding factor 1	LEF1	Homo sapiens (Human)	145
LEF1		G9G139	G9G139_HUMAN	unreviewed	Lymphoid enhancer-binding factor 1 (Fragment)	LEF1	Homo sapiens (Human)	72
LEF1		Q9UJU2	LEF1_HUMAN	reviewed	Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha)	LEF1	Homo sapiens (Human)	399
LGALS3		G3V3R6	G3V3R6_HUMAN	unreviewed	Galectin	LGALS3	Homo sapiens (Human)	233
LGALS3		G3V407	G3V407_HUMAN	unreviewed	Galectin-3 (Fragment)	LGALS3	Homo sapiens (Human)	88
LGALS3		P17931	LEG3_HUMAN	reviewed	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3 MAC2	Homo sapiens (Human)	250
LGALS3		Q6FGL0	Q6FGL0_HUMAN	unreviewed	Galectin (Fragment)	LGALS3	Homo sapiens (Human)	250
LGALS3		Q6NVH9	Q6NVH9_HUMAN	unreviewed	Galectin	LGALS3	Homo sapiens (Human)	250
LMNA		A0A0C4DGC5	A0A0C4DGC5_HUMAN	unreviewed	Prelamin-A/C (Fragment)	LMNA	Homo sapiens (Human)	260
LMNA		D6RB20	D6RB20_HUMAN	unreviewed	Prelamin-A/C	LMNA	Homo sapiens (Human)	38
LMNA		H0YAB0	H0YAB0_HUMAN	unreviewed	Prelamin-A/C (Fragment)	LMNA	Homo sapiens (Human)	182
LMNA		P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
LMNA		Q3BDU5	Q3BDU5_HUMAN	unreviewed	Prelamin-A/C (Rhabdomyosarcoma antigen MU-RMS-40.12)	LMNA	Homo sapiens (Human)	487
LMNA		Q5I6Y5	Q5I6Y5_HUMAN	unreviewed	Lamin A/C transcript variant 1	LMNA	Homo sapiens (Human)	480
LMNA		Q5TCI8	Q5TCI8_HUMAN	unreviewed	Prelamin-A/C	LMNA	Homo sapiens (Human)	491
LMNA		W8QEH3	W8QEH3_HUMAN	unreviewed	Lamin A/C	LMNA	Homo sapiens (Human)	572
LPPR4		Q3ZCT6	Q3ZCT6_HUMAN	unreviewed	LPPR4 protein (Fragment)	LPPR4	Homo sapiens (Human)	117
LPPR4		Q86XM6	Q86XM6_HUMAN	unreviewed	LPPR4 protein (Fragment)	LPPR4	Homo sapiens (Human)	755
LUM		P51884	LUM_HUMAN	reviewed	Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican)	LUM LDC SLRR2D	Homo sapiens (Human)	338
MADD		A0A0A0MRB5	A0A0A0MRB5_HUMAN	unreviewed	MAP kinase-activating death domain protein	MADD	Homo sapiens (Human)	1588
MADD		A0A0U1RR25	A0A0U1RR25_HUMAN	unreviewed	MAP kinase-activating death domain protein (Fragment)	MADD	Homo sapiens (Human)	199
MADD		C9J6B0	C9J6B0_HUMAN	unreviewed	MAP kinase-activating death domain protein (Fragment)	MADD	Homo sapiens (Human)	154
MADD		C9JLZ9	C9JLZ9_HUMAN	unreviewed	MAP kinase-activating death domain protein (Fragment)	MADD	Homo sapiens (Human)	135
MADD		C9JM97	C9JM97_HUMAN	unreviewed	MAP kinase-activating death domain protein (Fragment)	MADD	Homo sapiens (Human)	75
MADD		C9K0L0	C9K0L0_HUMAN	unreviewed	MAP kinase-activating death domain protein (Fragment)	MADD	Homo sapiens (Human)	136
MADD		F8W8U2	F8W8U2_HUMAN	unreviewed	MAP kinase-activating death domain protein	MADD	Homo sapiens (Human)	439
MADD		Q8WXG6	MADD_HUMAN	reviewed	MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor)	MADD DENN IG20 KIAA0358	Homo sapiens (Human)	1647
MCL1		A0A087WT64	A0A087WT64_HUMAN	unreviewed	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	Homo sapiens (Human)	197
MCL1		C8YZ26	C8YZ26_HUMAN	unreviewed	Myeloid cell leukemia ES variant	MCL1	Homo sapiens (Human)	197
MCL1		Q03399	Q03399_HUMAN	unreviewed	Myosin light chain 1	MCL1	Homo sapiens (Human)	197
MCL1		Q07820	MCL1_HUMAN	reviewed	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	Homo sapiens (Human)	350
MGMT		A0A059PXU1	A0A059PXU1_HUMAN	unreviewed	O-6-methylguanine-DNA methyltransferase (EC 2.1.1.63) (Fragment)	MGMT	Homo sapiens (Human)	49
MGMT		A0A0G2SKE6	A0A0G2SKE6_HUMAN	unreviewed	Methylated DNA protein cysteine methyltransferase (EC 2.1.1.63) (Fragment)	MGMT	Homo sapiens (Human)	59
MGMT		A0A0G2SKF3	A0A0G2SKF3_HUMAN	unreviewed	Methylated DNA protein cysteine methyltransferase (EC 2.1.1.63) (Fragment)	MGMT	Homo sapiens (Human)	59
MGMT		P16455	MGMT_HUMAN	reviewed	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	Homo sapiens (Human)	207
MMP2		A0A024R6R4	A0A024R6R4_HUMAN	unreviewed	Matrix metallopeptidase 2 (Gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase), isoform CRA_a	MMP2 hCG_24148	Homo sapiens (Human)	660
MMP2		H3BR66	H3BR66_HUMAN	unreviewed	72 kDa type IV collagenase (Fragment)	MMP2	Homo sapiens (Human)	201
MMP2		H3BS34	H3BS34_HUMAN	unreviewed	72 kDa type IV collagenase (Fragment)	MMP2	Homo sapiens (Human)	251
MMP2		H3BV48	H3BV48_HUMAN	unreviewed	72 kDa type IV collagenase (Fragment)	MMP2	Homo sapiens (Human)	118
