yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
IRS2		Q9Y4H2	IRS2_HUMAN	reviewed	Insulin receptor substrate 2 (IRS-2)	IRS2	Homo sapiens (Human)	1338
ISG20		A0A024RC76	A0A024RC76_HUMAN	unreviewed	Interferon stimulated exonuclease gene 20kDa, isoform CRA_a	ISG20 hCG_1775709	Homo sapiens (Human)	118
ISG20		H0YMM4	H0YMM4_HUMAN	unreviewed	Interferon-stimulated gene 20 kDa protein (Fragment)	ISG20	Homo sapiens (Human)	155
ISG20		H3BLY5	H3BLY5_HUMAN	unreviewed	Interferon-stimulated gene 20 kDa protein	ISG20	Homo sapiens (Human)	87
ISG20		Q96AZ6	ISG20_HUMAN	reviewed	Interferon-stimulated gene 20 kDa protein (EC 3.1.13.1) (Estrogen-regulated transcript 45 protein) (Promyelocytic leukemia nuclear body-associated protein ISG20)	ISG20 HEM45	Homo sapiens (Human)	181
KDELR3		A0A024R1R0	A0A024R1R0_HUMAN	unreviewed	ER lumen protein-retaining receptor	KDELR3 hCG_2010805	Homo sapiens (Human)	214
KDELR3		O43731	ERD23_HUMAN	reviewed	ER lumen protein-retaining receptor 3 (KDEL endoplasmic reticulum protein retention receptor 3) (KDEL receptor 3)	KDELR3	Homo sapiens (Human)	214
KIF20A		D6R9E4	D6R9E4_HUMAN	unreviewed	Kinesin-like protein KIF20A (Fragment)	KIF20A	Homo sapiens (Human)	159
KIF20A		D6RBN1	D6RBN1_HUMAN	unreviewed	Kinesin-like protein KIF20A (Fragment)	KIF20A	Homo sapiens (Human)	225
KIF20A		H0YAC9	H0YAC9_HUMAN	unreviewed	Kinesin-like protein KIF20A (Fragment)	KIF20A	Homo sapiens (Human)	82
KIF20A		O95235	KI20A_HUMAN	reviewed	Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6)	KIF20A MKLP2 RAB6KIFL	Homo sapiens (Human)	890
KIF2A		D6R9M0	D6R9M0_HUMAN	unreviewed	Kinesin-like protein KIF2A (Fragment)	KIF2A	Homo sapiens (Human)	284
KIF2A		D6RD93	D6RD93_HUMAN	unreviewed	Kinesin-like protein KIF2A (Fragment)	KIF2A	Homo sapiens (Human)	80
KIF2A		H0Y8H2	H0Y8H2_HUMAN	unreviewed	Kinesin-like protein KIF2A (Fragment)	KIF2A	Homo sapiens (Human)	130
KIF2A		O00139	KIF2A_HUMAN	reviewed	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	Homo sapiens (Human)	706
LCT		H0Y4E4	H0Y4E4_HUMAN	unreviewed	Lactase-phlorizin hydrolase (Fragment)	LCT	Homo sapiens (Human)	1003
LCT		P09848	LPH_HUMAN	reviewed	Lactase-phlorizin hydrolase (Lactase-glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Phlorizin hydrolase (EC 3.2.1.62)]	LCT LPH	Homo sapiens (Human)	1927
LCT		Q45V77	Q45V77_HUMAN	unreviewed	LCT (Fragment)	LCT	Homo sapiens (Human)	26
LCT		Q6Y1I9	Q6Y1I9_HUMAN	unreviewed	Lactase-phlorizin hydrolase-1 (Fragment)	LCT	Homo sapiens (Human)	1003
LDHA		F5GWW2	F5GWW2_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	45
LDHA		F5GXC7	F5GXC7_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	45
LDHA		F5GXH2	F5GXH2_HUMAN	unreviewed	L-lactate dehydrogenase A chain (Fragment)	LDHA	Homo sapiens (Human)	114
LDHA		F5GXU1	F5GXU1_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	46
LDHA		F5GXY2	F5GXY2_HUMAN	unreviewed	L-lactate dehydrogenase A chain (Fragment)	LDHA	Homo sapiens (Human)	156
LDHA		F5GYU2	F5GYU2_HUMAN	unreviewed	L-lactate dehydrogenase A chain (Fragment)	LDHA	Homo sapiens (Human)	144
LDHA		F5GZQ4	F5GZQ4_HUMAN	unreviewed	L-lactate dehydrogenase A chain (Fragment)	LDHA	Homo sapiens (Human)	72
LDHA		F5H5J4	F5H5J4_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	89
LDHA		F5H6W8	F5H6W8_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	94
LDHA		F5H8H6	F5H8H6_HUMAN	unreviewed	L-lactate dehydrogenase A chain	LDHA	Homo sapiens (Human)	42
LDHA		P00338	LDHA_HUMAN	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332
LDHC		F5GWS6	F5GWS6_HUMAN	unreviewed	L-lactate dehydrogenase C chain	LDHC	Homo sapiens (Human)	45
LDHC		F5GZ11	F5GZ11_HUMAN	unreviewed	L-lactate dehydrogenase C chain	LDHC	Homo sapiens (Human)	167
LDHC		F5H155	F5H155_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	225
LDHC		F5H245	F5H245_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	318
LDHC		F5H326	F5H326_HUMAN	unreviewed	L-lactate dehydrogenase C chain	LDHC	Homo sapiens (Human)	51
LDHC		F5H5G7	F5H5G7_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	183
LDHC		G3XAP5	G3XAP5_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC hCG_15532	Homo sapiens (Human)	241
LDHC		G9BCY7	G9BCY7_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	332
LDHC		G9BCY8	G9BCY8_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	332
LDHC		G9BCY9	G9BCY9_HUMAN	unreviewed	Lactate dehydrogenase c variant 3	LDHC	Homo sapiens (Human)	96
LDHC		G9BCZ0	G9BCZ0_HUMAN	unreviewed	L-lactate dehydrogenase (EC 1.1.1.27)	LDHC	Homo sapiens (Human)	306
LDHC		G9BCZ1	G9BCZ1_HUMAN	unreviewed	Lactate dehydrogenase c variant 5	LDHC	Homo sapiens (Human)	57
LDHC		P07864	LDHC_HUMAN	reviewed	L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X)	LDHC LDH3 LDHX	Homo sapiens (Human)	332
LHPP		Q5T1Z0	Q5T1Z0_HUMAN	unreviewed	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	Homo sapiens (Human)	212
LHPP		Q9H008	LHPP_HUMAN	reviewed	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (hLHPP) (EC 3.1.3.-) (EC 3.6.1.1)	LHPP	Homo sapiens (Human)	270
LHX9		A0A087X083	A0A087X083_HUMAN	unreviewed	LIM/homeobox protein Lhx9 (Fragment)	LHX9	Homo sapiens (Human)	37
LHX9		A0A0C4DGY4	A0A0C4DGY4_HUMAN	unreviewed	LIM/homeobox protein Lhx9 (Fragment)	LHX9	Homo sapiens (Human)	26
LHX9		H0Y330	H0Y330_HUMAN	unreviewed	LIM homeobox 9, isoform CRA_c (LIM/homeobox protein Lhx9)	LHX9 hCG_40874	Homo sapiens (Human)	54
LHX9		H0YL54	H0YL54_HUMAN	unreviewed	LIM/homeobox protein Lhx9	LHX9	Homo sapiens (Human)	336
LHX9		Q9NQ69	LHX9_HUMAN	reviewed	LIM/homeobox protein Lhx9 (LIM homeobox protein 9)	LHX9	Homo sapiens (Human)	397
MDH1		B8ZZ51	B8ZZ51_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic	MDH1	Homo sapiens (Human)	169
MDH1		B9A041	B9A041_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic	MDH1	Homo sapiens (Human)	210
MDH1		C9IZI0	C9IZI0_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic (Fragment)	MDH1	Homo sapiens (Human)	67
MDH1		C9JF79	C9JF79_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37) (Fragment)	MDH1	Homo sapiens (Human)	222
MDH1		C9JLV6	C9JLV6_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic (Fragment)	MDH1	Homo sapiens (Human)	114
MDH1		C9JRL4	C9JRL4_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic (Fragment)	MDH1	Homo sapiens (Human)	119
MDH1		F8WFC2	F8WFC2_HUMAN	unreviewed	Malate dehydrogenase, cytoplasmic	MDH1	Homo sapiens (Human)	87
MDH1		P40925	MDHC_HUMAN	reviewed	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)	MDH1 MDHA	Homo sapiens (Human)	334
MDH2		A0A024R4K3	A0A024R4K3_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	MDH2 hCG_1818102	Homo sapiens (Human)	338
MDH2		G3XAL0	G3XAL0_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	MDH2 hCG_1818102	Homo sapiens (Human)	231
MDH2		P40926	MDHM_HUMAN	reviewed	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	338
MDH2		Q0QF37	Q0QF37_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37) (Fragment)	MDH2	Homo sapiens (Human)	305
MDH2		Q6FHZ0	Q6FHZ0_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	338
MDH2		Q75MP7	Q75MP7_HUMAN	unreviewed	Putative uncharacterized protein MDH2 (Fragment)	MDH2	Homo sapiens (Human)	22
MDH2		Q75MT9	Q75MT9_HUMAN	unreviewed	Malate dehydrogenase (EC 1.1.1.37) (Fragment)	MDH2	Homo sapiens (Human)	316
MDH2		U3KQ63	U3KQ63_HUMAN	unreviewed	Malate dehydrogenase, mitochondrial	MDH2	Homo sapiens (Human)	28
ME1		O15199	O15199_HUMAN	unreviewed	Cadherin (Fragment)	ME1	Homo sapiens (Human)	134
ME1		P48163	MAOX_HUMAN	reviewed	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1)	ME1	Homo sapiens (Human)	572
ME2		O15200	O15200_HUMAN	unreviewed	Cadherin (Fragment)	ME2	Homo sapiens (Human)	134
ME2		P23368	MAOM_HUMAN	reviewed	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	Homo sapiens (Human)	584
MED24		A0A0B4J1W0	A0A0B4J1W0_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Thyroid hormone receptor associated protein 4, isoform CRA_a)	MED24 THRAP4 hCG_30017	Homo sapiens (Human)	1014
MED24		B4DDR8	B4DDR8_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (cDNA FLJ59464, highly similar to Thyroid hormone receptor-associated proteincomplex 100 kDa component)	MED24	Homo sapiens (Human)	638
MED24		B9TX62	B9TX62_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i2 (Mediator of RNA polymerase II transcription subunit 24) (Fragment)	MED24	Homo sapiens (Human)	292
MED24		B9TX63	B9TX63_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i3 (Fragment)	MED24	Homo sapiens (Human)	273
MED24		B9TX64	B9TX64_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i4 (Fragment)	MED24	Homo sapiens (Human)	196
MED24		B9TX65	B9TX65_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i5 (Fragment)	MED24	Homo sapiens (Human)	276
MED24		B9TX66	B9TX66_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i6 (Fragment)	MED24	Homo sapiens (Human)	112
MED24		B9TX67	B9TX67_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i7 (Fragment)	MED24	Homo sapiens (Human)	97
MED24		B9TX68	B9TX68_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i8 (Fragment)	MED24	Homo sapiens (Human)	196
MED24		B9TX69	B9TX69_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i9 (Fragment)	MED24	Homo sapiens (Human)	322
MED24		B9TX70	B9TX70_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i10 (Fragment)	MED24	Homo sapiens (Human)	19
MED24		B9TX71	B9TX71_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i11 (Fragment)	MED24	Homo sapiens (Human)	232
MED24		B9TX72	B9TX72_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i12 (Fragment)	MED24	Homo sapiens (Human)	287
MED24		B9TX73	B9TX73_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i13 (Fragment)	MED24	Homo sapiens (Human)	139
MED24		B9TX74	B9TX74_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i14 (Fragment)	MED24	Homo sapiens (Human)	128
MED24		B9TX75	B9TX75_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i15 (Mediator of RNA polymerase II transcription subunit 24)	MED24	Homo sapiens (Human)	137
MED24		B9TX76	B9TX76_HUMAN	unreviewed	Mediator complex subunit MED24 variant MED24_i16	MED24	Homo sapiens (Human)	63
MED24		E9PFL1	E9PFL1_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	301
MED24		F5GY88	F5GY88_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24	MED24	Homo sapiens (Human)	1008
MED24		F5H0M2	F5H0M2_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	163
MED24		F5H2D6	F5H2D6_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	189
MED24		F5H3E6	F5H3E6_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24	MED24	Homo sapiens (Human)	100
MED24		F5H5K2	F5H5K2_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	791
MED24		H0YEG1	H0YEG1_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	84
MED24		J3KSL1	J3KSL1_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	176
MED24		J3KSU0	J3KSU0_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	159
MED24		J3KTL3	J3KTL3_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	138
MED24		J3QLC0	J3QLC0_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	143
MED24		J3QLC2	J3QLC2_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	57
MED24		J3QLF8	J3QLF8_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	138
MED24		J3QLV7	J3QLV7_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	23
MED24		J3QRH9	J3QRH9_HUMAN	unreviewed	Mediator of RNA polymerase II transcription subunit 24 (Fragment)	MED24	Homo sapiens (Human)	54
MED24		O75448	MED24_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 24 (Activator-recruited cofactor 100 kDa component) (ARC100) (Cofactor required for Sp1 transcriptional activation subunit 4) (CRSP complex subunit 4) (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (hTRAP100) (Vitamin D3 receptor-interacting protein complex 100 kDa component) (DRIP100)	MED24 ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100	Homo sapiens (Human)	989
MERTK		A0A087WZQ5	A0A087WZQ5_HUMAN	unreviewed	Tyrosine-protein kinase Mer	MERTK	Homo sapiens (Human)	588
MERTK		E9PD22	E9PD22_HUMAN	unreviewed	Tyrosine-protein kinase Mer	MERTK	Homo sapiens (Human)	96
MERTK		E9PHX8	E9PHX8_HUMAN	unreviewed	Tyrosine-protein kinase Mer	MERTK	Homo sapiens (Human)	823
MERTK		H7C3L9	H7C3L9_HUMAN	unreviewed	Tyrosine-protein kinase Mer (Fragment)	MERTK	Homo sapiens (Human)	257
MERTK		Q12866	MERTK_HUMAN	reviewed	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	MERTK MER	Homo sapiens (Human)	999
MERTK		Q1RMG3	Q1RMG3_HUMAN	unreviewed	MERTK protein	MERTK	Homo sapiens (Human)	823
MERTK		Q53QW0	Q53QW0_HUMAN	unreviewed	Putative uncharacterized protein MERTK (Fragment)	MERTK	Homo sapiens (Human)	432
MERTK		Q53R53	Q53R53_HUMAN	unreviewed	Putative uncharacterized protein MERTK (Fragment)	MERTK	Homo sapiens (Human)	567
MET		A0A024R728	A0A024R728_HUMAN	unreviewed	Met proto-oncogene (Hepatocyte growth factor receptor), isoform CRA_a	MET hCG_38705	Homo sapiens (Human)	1408
MET		A0A024R759	A0A024R759_HUMAN	unreviewed	Met proto-oncogene (Hepatocyte growth factor receptor), isoform CRA_c	MET hCG_38705	Homo sapiens (Human)	1390
MET		A0PJF7	A0PJF7_HUMAN	unreviewed	MET protein (Fragment)	MET	Homo sapiens (Human)	94
MET		B5A929	B5A929_HUMAN	unreviewed	Soluble MET variant 1	MET	Homo sapiens (Human)	877
MET		B5A930	B5A930_HUMAN	unreviewed	Soluble MET variant 2	MET	Homo sapiens (Human)	823
MET		B5A931	B5A931_HUMAN	unreviewed	Soluble MET variant 3	MET	Homo sapiens (Human)	755
MET		B5A933	B5A933_HUMAN	unreviewed	Soluble MET variant 5	MET	Homo sapiens (Human)	661
MET		B5A934	B5A934_HUMAN	unreviewed	Soluble MET variant 6	MET	Homo sapiens (Human)	719
MET		B5A935	B5A935_HUMAN	unreviewed	Soluble MET variant 7	MET	Homo sapiens (Human)	697
MET		B5A936	B5A936_HUMAN	unreviewed	Soluble MET variant 8	MET	Homo sapiens (Human)	691
MET		B5A937	B5A937_HUMAN	unreviewed	Soluble MET variant 9	MET	Homo sapiens (Human)	664
MET		B5A938	B5A938_HUMAN	unreviewed	Soluble MET variant 10	MET	Homo sapiens (Human)	621
MET		B5A939	B5A939_HUMAN	unreviewed	Soluble MET variant 11	MET	Homo sapiens (Human)	596
MET		B5A940	B5A940_HUMAN	unreviewed	Soluble MET variant 12	MET	Homo sapiens (Human)	408
MET		B5A941	B5A941_HUMAN	unreviewed	Soluble MET variant 13	MET	Homo sapiens (Human)	518
MET		B5A942	B5A942_HUMAN	unreviewed	Soluble MET variant 14	MET	Homo sapiens (Human)	468
MET		B5A943	B5A943_HUMAN	unreviewed	Soluble MET variant 15	MET	Homo sapiens (Human)	413
MET		C9JKM5	C9JKM5_HUMAN	unreviewed	Hepatocyte growth factor receptor (Fragment)	MET	Homo sapiens (Human)	190
MET		H7C130	H7C130_HUMAN	unreviewed	Hepatocyte growth factor receptor (Fragment)	MET	Homo sapiens (Human)	158
MET		H7C174	H7C174_HUMAN	unreviewed	Hepatocyte growth factor receptor (Fragment)	MET	Homo sapiens (Human)	214
MET		P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
MET		Q14825	Q14825_HUMAN	unreviewed	MET protein (Fragment)	MET	Homo sapiens (Human)	22
MET		Q9NWH9	SLTM_HUMAN	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)	1034
MET		Q9UEJ3	Q9UEJ3_HUMAN	unreviewed	Proto-oncogenic met protein (Fragment)	MET	Homo sapiens (Human)	47
MIF		A6MUU8	A6MUU8_HUMAN	unreviewed	Macrophage migration inhibitory factor	MIF	Homo sapiens (Human)	113
MIF		I4AY87	I4AY87_HUMAN	unreviewed	Macrophage migration inhibitory factor (Fragment)	MIF	Homo sapiens (Human)	115
MIF		P03971	MIS_HUMAN	reviewed	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	AMH MIF	Homo sapiens (Human)	560
MIF		P14174	MIF_HUMAN	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	Homo sapiens (Human)	115
MIOX		A6PVH2	A6PVH2_HUMAN	unreviewed	Inositol oxygenase (Myo-inositol oxygenase, isoform CRA_c)	MIOX hCG_16876	Homo sapiens (Human)	270
MIOX		A6PVH4	A6PVH4_HUMAN	unreviewed	Inositol oxygenase (Fragment)	MIOX	Homo sapiens (Human)	265
MIOX		Q9UGB7	MIOX_HUMAN	reviewed	Inositol oxygenase (EC 1.13.99.1) (Aldehyde reductase-like 6) (Kidney-specific protein 32) (Myo-inositol oxygenase) (MI oxygenase) (Renal-specific oxidoreductase)	MIOX ALDRL6 KSP32 RSOR	Homo sapiens (Human)	285
MPI		B4DYB8	B4DYB8_HUMAN	unreviewed	Mannose-6-phosphate isomerase (cDNA FLJ54812, moderately similar to Mannose-6-phosphate isomerase (EC 5.3.1.8))	MPI	Homo sapiens (Human)	228
MPI		F5GX71	F5GX71_HUMAN	unreviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8)	MPI	Homo sapiens (Human)	373
MPI		H3BM77	H3BM77_HUMAN	unreviewed	Mannose-6-phosphate isomerase	MPI	Homo sapiens (Human)	71
MPI		H3BMZ9	H3BMZ9_HUMAN	unreviewed	Mannose-6-phosphate isomerase	MPI	Homo sapiens (Human)	264
MPI		H3BN01	H3BN01_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	174
MPI		H3BNY8	H3BNY8_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	185
MPI		H3BP57	H3BP57_HUMAN	unreviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Fragment)	MPI	Homo sapiens (Human)	288
MPI		H3BPB8	H3BPB8_HUMAN	unreviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8)	MPI hCG_2006995	Homo sapiens (Human)	403
MPI		H3BPM5	H3BPM5_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	173
MPI		H3BPP3	H3BPP3_HUMAN	unreviewed	Mannose-6-phosphate isomerase	MPI	Homo sapiens (Human)	287
MPI		H3BPU7	H3BPU7_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	119
MPI		H3BQX0	H3BQX0_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	175
MPI		H3BT46	H3BT46_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	213
MPI		H3BT48	H3BT48_HUMAN	unreviewed	Mannose-6-phosphate isomerase	MPI	Homo sapiens (Human)	319
MPI		H3BU66	H3BU66_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	168
MPI		H3BUG1	H3BUG1_HUMAN	unreviewed	Mannose-6-phosphate isomerase (Fragment)	MPI	Homo sapiens (Human)	125
MPI		H3BUZ9	H3BUZ9_HUMAN	unreviewed	Mannose-6-phosphate isomerase	MPI	Homo sapiens (Human)	339
MPI		P34949	MPI_HUMAN	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1	Homo sapiens (Human)	423
MXI1		A0A0S2Z3X5	A0A0S2Z3X5_HUMAN	unreviewed	MAX interactor 1 isoform 1 (Fragment)	MXI1	Homo sapiens (Human)	182
MXI1		A0A0S2Z3Y0	A0A0S2Z3Y0_HUMAN	unreviewed	MAX interactor 1 isoform 3 (Fragment)	MXI1	Homo sapiens (Human)	192
MXI1		A0A0S2Z429	A0A0S2Z429_HUMAN	unreviewed	MAX interactor 1 isoform 2	MXI1	Homo sapiens (Human)	43
MXI1		B1ANN8	B1ANN8_HUMAN	unreviewed	Max-interacting protein 1 (cDNA FLJ61042, highly similar to MAX-interacting protein 1)	MXI1	Homo sapiens (Human)	218
MXI1		F6U3F6	F6U3F6_HUMAN	unreviewed	Max-interacting protein 1 (Fragment)	MXI1	Homo sapiens (Human)	226
MXI1		F6WCI9	F6WCI9_HUMAN	unreviewed	Max-interacting protein 1 (Fragment)	MXI1	Homo sapiens (Human)	118
MXI1		P50539	MXI1_HUMAN	reviewed	Max-interacting protein 1 (Max interactor 1) (Class C basic helix-loop-helix protein 11) (bHLHc11)	MXI1 BHLHC11	Homo sapiens (Human)	228
MXI1		Q5V9L6	Q5V9L6_HUMAN	unreviewed	Max-interacting protein 1 (Fragment)	MXI1	Homo sapiens (Human)	91
NANP		L8EBE6	L8EBE6_HUMAN	unreviewed	Alternative protein NANP	NANP	Homo sapiens (Human)	47
NANP		Q8TBE9	NANP_HUMAN	reviewed	N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	NANP C20orf147 HDHD4	Homo sapiens (Human)	248
NASP		E9PAU3	E9PAU3_HUMAN	unreviewed	Nuclear autoantigenic sperm protein	NASP	Homo sapiens (Human)	38
NASP		E9PI86	E9PI86_HUMAN	unreviewed	Nuclear autoantigenic sperm protein (Fragment)	NASP	Homo sapiens (Human)	256
NASP		E9PJQ2	E9PJQ2_HUMAN	unreviewed	Nuclear autoantigenic sperm protein	NASP	Homo sapiens (Human)	55
NASP		E9PKR5	E9PKR5_HUMAN	unreviewed	Nuclear autoantigenic sperm protein	NASP	Homo sapiens (Human)	56
NASP		E9PNB5	E9PNB5_HUMAN	unreviewed	Nuclear autoantigenic sperm protein (Fragment)	NASP	Homo sapiens (Human)	143
NASP		E9PPQ8	E9PPQ8_HUMAN	unreviewed	Nuclear autoantigenic sperm protein (Fragment)	NASP	Homo sapiens (Human)	154
NASP		E9PPR5	E9PPR5_HUMAN	unreviewed	Nuclear autoantigenic sperm protein (Fragment)	NASP	Homo sapiens (Human)	316
NASP		E9PQG5	E9PQG5_HUMAN	unreviewed	Nuclear autoantigenic sperm protein	NASP	Homo sapiens (Human)	37
NASP		E9PRH9	E9PRH9_HUMAN	unreviewed	Nuclear autoantigenic sperm protein (Fragment)	NASP	Homo sapiens (Human)	268
